"tra_num_decil","rub_id_rubro","tra_mto_tramo_min","tra_mto_tramo_max"
9,78,209.000,2.291.000
0,80,3.000,55.000
1,80,55.000,68.000
2,80,68.000,78.000
3,80,78.000,86.000
4,80,86.000,93.000
5,80,93.000,104.000
6,80,104.000,115.000
7,80,115.000,132.000
8,80,132.000,167.000
9,80,167.000,4.577.000
0,81,0,6.000
1,81,6.000,8.000
2,81,8.000,11.000
3,81,11.000,15.000
4,81,15.000,18.000
5,81,18.000,24.000
6,81,24.000,31.000
7,81,31.000,45.000
8,81,45.000,88.000
9,81,88.000,1.959.000
0,82,1.000,6.000
1,82,6.000,8.000
2,82,8.000,11.000
3,82,11.000,14.000
4,82,14.000,16.000
5,82,16.000,21.000
6,82,21.000,32.000
7,82,32.000,48.000
8,82,48.000,86.000
9,82,86.000,502.000
0,83,7.000,7.000
1,83,7.000,11.000
3,83,11.000,20.000
5,83,20.000,20.000
6,83,20.000,21.000
8,83,21.000,293.000
0,84,15.000,15.000
1,84,15.000,17.000
2,84,17.000,29.000
3,84,29.000,37.000
4,84,37.000,85.000
5,84,85.000,101.000
6,84,101.000,117.000
7,84,117.000,156.000
8,84,156.000,199.000
0,86,9.000,9.000
0,87,0,21.000
1,87,21.000,31.000
2,87,31.000,35.000
3,87,35.000,44.000
4,87,44.000,58.000
5,87,58.000,76.000
6,87,76.000,107.000
7,87,107.000,183.000
8,87,183.000,351.000
9,87,351.000,1.338.000
0,88,6.000,6.000
0,90,11.000,11.000
5,90,11.000,36.000
0,91,16.000,24.000
1,91,24.000,27.000
2,91,27.000,36.000
3,91,36.000,37.000
4,91,37.000,40.000
5,91,40.000,53.000
6,91,53.000,59.000
7,91,59.000,86.000
8,91,86.000,108.000
9,91,108.000,532.000
0,92,28.000,30.000
1,92,30.000,32.000
2,92,32.000,37.000
3,92,37.000,60.000
4,92,60.000,64.000
5,92,64.000,120.000
6,92,120.000,202.000
7,92,202.000,212.000
8,92,212.000,306.000
9,92,306.000,321.000
0,93,30.000,30.000
1,93,30.000,33.000
2,93,33.000,43.000
3,93,43.000,62.000
5,93,62.000,119.000
6,93,119.000,129.000
7,93,129.000,527.000
8,93,527.000,1.562.000
0,94,2.000,29.000
1,94,29.000,36.000
2,94,36.000,39.000
3,94,39.000,43.000
4,94,43.000,47.000
5,94,47.000,50.000
6,94,50.000,59.000
7,94,59.000,68.000
8,94,68.000,90.000
9,94,90.000,339.000
0,99,0,7.000
1,99,7.000,11.000
2,99,11.000,13.000
3,99,13.000,16.000
4,99,16.000,27.000
5,99,27.000,38.000
6,99,38.000,86.000
7,99,86.000,134.000
8,99,134.000,281.000
9,99,281.000,3.927.000
0,100,60.000,60.000
1,100,60.000,90.000
3,100,90.000,138.000
5,100,138.000,214.000
6,100,214.000,225.000
8,100,225.000,1.335.000
0,101,2.000,18.000
1,101,18.000,24.000
2,101,24.000,29.000
3,101,29.000,34.000
4,101,34.000,44.000
5,101,44.000,54.000
6,101,54.000,88.000
7,101,88.000,157.000
8,101,157.000,249.000
9,101,249.000,4.863.000
0,102,0,3.000
1,102,3.000,4.000
2,102,4.000,5.000
3,102,5.000,7.000
4,102,7.000,9.000
5,102,9.000,11.000
6,102,11.000,14.000
7,102,14.000,19.000
8,102,19.000,29.000
9,102,29.000,2.558.000
0,104,0,1.000
1,104,1.000,2.000
2,104,2.000,5.000
3,104,5.000,8.000
4,104,8.000,12.000
5,104,12.000,15.000
6,104,15.000,20.000
7,104,20.000,30.000
8,104,30.000,40.000
9,104,40.000,100.000
0,106,1.000,7.000
1,106,7.000,9.000
2,106,9.000,10.000
3,106,10.000,11.000
4,106,11.000,12.000
5,106,12.000,14.000
6,106,14.000,15.000
7,106,15.000,18.000
8,106,18.000,24.000
9,106,24.000,380.000
0,108,0,3.000
1,108,3.000,5.000
2,108,5.000,6.000
3,108,6.000,7.000
4,108,7.000,8.000
5,108,8.000,10.000
6,108,10.000,11.000
7,108,11.000,13.000
8,108,13.000,15.000
9,108,15.000,2.828.000
0,109,1.000,4.000
1,109,4.000,4.000
2,109,4.000,5.000
3,109,5.000,5.000
4,109,5.000,6.000
5,109,6.000,7.000
6,109,7.000,8.000
7,109,8.000,12.000
8,109,12.000,15.000
9,109,15.000,184.000
0,110,1.000,2.000
1,110,2.000,3.000
2,110,3.000,5.000
3,110,5.000,6.000
4,110,6.000,9.000
5,110,9.000,11.000
6,110,11.000,13.000
7,110,13.000,15.000
8,110,15.000,19.000
9,110,19.000,203.000
0,112,1.000,2.000
1,112,2.000,2.000
2,112,2.000,3.000
3,112,3.000,3.000
4,112,3.000,4.000
5,112,4.000,4.000
6,112,4.000,5.000
7,112,5.000,7.000
8,112,7.000,12.000
9,112,12.000,138.000
0,113,138.000,3.000
1,113,3.000,4.000
2,113,4.000,5.000
3,113,5.000,6.000
4,113,6.000,7.000
5,113,7.000,8.000
6,113,8.000,10.000
7,113,10.000,12.000
8,113,12.000,17.000
9,113,17.000,65.000
0,114,3.000,9.000
1,114,9.000,11.000
2,114,11.000,12.000
3,114,12.000,14.000
4,114,14.000,16.000
5,114,16.000,20.000
6,114,20.000,23.000
7,114,23.000,27.000
8,114,27.000,34.000
9,114,34.000,238.000
0,116,1.000,2.000
1,116,2.000,3.000
2,116,3.000,4.000
